(-6.018286228419712, 1.4632317733029212)
(-5.9536705713109015, 1.3439887423729593)
(-6.156426429039366, 1.8520707168091421)
(-6.011162723238389, 1.4975095664454074)
(-6.568986331840247, 1.6121077822886263)
(-6.813896063494094, 2.0219862485106113)
(-6.104959590664176, 2.4721015544799667)
(-6.523437025259517, 2.5938458442484085)
(-6.767112393367828, 2.121041562595108)
(-6.602703813502898, 2.4328058286202254)
(-6.662645157974647, 2.332965355790727)
(-6.716844867708672, 1.9449318383504006)
(-6.614211736088732, 1.5643607178010723)
(-6.661420313878051, 2.2648332656529964)
(-7.535659186414954, 2.0011670237120227)
(-6.963812260075171, 2.1723031728391873)
(-7.161818105310205, 2.117015011567554)
(-7.633336605888818, 2.0539142291906947)
(-7.878574640515836, 2.159952509196173)
(-7.235654895310463, 2.1223931427068536)
(-8.367985522358621, 2.0644446385354724)
(-8.338687352005918, 2.100901216355425)
(-7.797558055205615, 2.0938957162897855)
(-7.637655113190236, 2.0771840146088447)
(-8.214475100506224, 2.097202413426845)
(-6.959907957809193, 2.0971626295548282)
(-6.6819300597751905, 2.081728065696403)
(-6.8581951529999285, 2.0903525111967434)
(-6.390745090353233, 2.0902838999471585)
(-5.770279436704819, 2.0866119167321067)
(-5.884505568340215, 2.08998428243278)
(-6.340067209970632, 2.0890473965139877)
(-5.082540605664652, 2.0898045564432715)
(-5.860438909571145, 2.088223175321109)
(-6.178624841370283, 2.087571989067478)
(-5.789789333020209, 2.089749480293502)
(-4.947172961679548, 2.09082343880616)
(-5.156575705993625, 2.087459650958115)
(-4.853053534573141, 2.0900114699299457)
(-5.053088305986171, 2.088002604210355)
(-5.4777628478832066, 2.087759964214499)
(-5.454230356316486, 2.08851931818865)
(-4.215911054741816, 2.0918282062330595)
(-5.327635942619922, 2.0856801708627635)
(-4.630087204352149, 2.0893226593470113)
(-5.04090965839846, 2.0866482632160115)
(-4.582775779395293, 2.087004580575265)
(-4.013446891872044, 2.091380177031656)
(-4.885344730684714, 2.084463643998933)
(-3.7238489111924693, 2.0895956666454274)
(-3.945962277423008, 2.0906562879553774)
(-4.483606715261636, 2.0890799689444974)
(-4.348546251674686, 2.089736784283096)
(-4.06094777155194, 2.0915831059868175)
(-4.445772644465984, 2.088231896960972)
(-4.359202309229968, 2.089757595176174)
(-4.120157216132646, 2.091723947931699)
(-4.863803372321542, 2.0894711403029818)
(-4.793350691386328, 2.089269441802239)
(-4.306118783575284, 2.0931453620600107)
(-4.85866868956297, 2.0883047066596236)
(-5.6894160420938755, 2.087226846435926)
(-4.60729950967048, 2.094175036326533)
(-4.5866013404183965, 2.0901593594963788)
(-5.104862134481508, 2.089452593075174)
(-5.571565429998918, 2.0914753392267698)
(-5.596963050760775, 2.090168412050212)
(-6.048880236242065, 2.088471191990321)
(-5.664235823943516, 2.0916686086540093)
(-5.880752590097474, 2.0896069889854028)
(-5.4721093985208515, 2.08974972134316)
(-4.961184666752417, 2.093466247635295)
(-5.768572960569347, 2.0875790059538732)
(-4.634673077239144, 2.092124187679527)
(-4.864072030445449, 2.09275885476194)
(-4.151371549765255, 2.0932331088883043)
(-4.142753428764362, 2.0935646012839677)
(-4.859159331502045, 2.0906864463418042)
(-5.125565410466549, 2.092260527624217)
